['companyname ', 'Открытые Технологии'];['position ', 'Программист Python (Middle)'];['minsalary ', 100000.0];['maxsalary ', 160000.0];['currency ', 130000.0];['vacancyurl ', 'https://hh.ru/vacancy/46205242?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Серпуховская']
['companyname ', 'Банк ВТБ (ПАО)'];['position ', 'Владелец продукта для универсальной аналитической стримминговой платформы (Big data)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46049038?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Билайн'];['position ', 'Senior Java Developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46469924?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Билайн'];['position ', 'Senior Java Developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46527487?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Сбер. IT'];['position ', 'Product owner'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46472589?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Кутузовская и еще 1 ']
['companyname ', 'ПАО\xa0МегаФон, IT'];['position ', 'ETL - разработчик (Hadoop, Oracle)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46623185?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Маяковская и еще 2 ']
['companyname ', 'Amdocs'];['position ', 'Team Lead Java'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46668639?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Сбер для экспертов'];['position ', 'Специалист по внедрению моделей'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45928925?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0Retail Rocket'];['position ', '.NET Developer junior'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46215876?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Сокол']
['companyname ', 'Астор'];['position ', 'Разработчик Java (Spring Framework)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46113710?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0Неравнодушный Гражданин'];['position ', 'Backend Senior Developer'];['minsalary ', 200000.0];['maxsalary ', 300000.0];['currency ', 250000.0];['vacancyurl ', 'https://hh.ru/vacancy/46391924?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'X5 RETAIL GROUP'];['position ', 'BigData / DWH разработчик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/34553872?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Парк культуры']
['companyname ', 'ООО\xa0Рекламная Платформа'];['position ', 'Аккаунт-менеджер в digital сфере'];['minsalary ', 90000.0];['maxsalary ', 150000.0];['currency ', 120000.0];['vacancyurl ', 'https://hh.ru/vacancy/46064746?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Pushwoosh'];['position ', 'Middle/Senior Golang developer'];['minsalary ', 200000.0];['maxsalary ', 260000.0];['currency ', 230000.0];['vacancyurl ', 'https://hh.ru/vacancy/38016148?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Билайн'];['position ', 'Инженер по эксплуатации (devops)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46488097?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0Интертехэлектро'];['position ', 'Java/Kotlin разработчик (удаленная работа)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46650364?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'City Business School'];['position ', 'Email-маркетолог'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46653011?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Молодежная']
['companyname ', 'АО\xa0Рамакс Интернейшнл'];['position ', 'Middle Java разработчик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44194937?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Александровский сад и еще 2 ']
['companyname ', 'Иннотех, Группа компаний'];['position ', 'Senior java developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46619953?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0Стрим'];['position ', 'Middle+/Senior frontend-разработчик (React) на проект МТС Live'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46621120?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0Рамакс Интернейшнл'];['position ', 'Аналитик BI / DWH'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44191361?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Александровский сад и еще 2 ']
['companyname ', 'ПАО\xa0«МТС», IT'];['position ', 'Системный аналитик | BigData'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46516144?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Технопарк']
['companyname ', 'Медипал'];['position ', 'BI Аналитик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44113181?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Mediascope'];['position ', 'Lead Data engineer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44762604?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0ГНИВЦ'];['position ', 'ETL-BigData Developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43807377?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Тушинская']
['companyname ', 'Softline'];['position ', 'Senior Python Разработчик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46536081?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0Национальная система платежных карт'];['position ', 'Системный аналитик в MirAccept'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43735823?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Новокузнецкая и еще 2 ']
['companyname ', 'АО\xa0Кросс технолоджис'];['position ', 'Аналитик баз данных (SQL)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46522952?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Динамо и еще 1 ']
['companyname ', 'Сбер для экспертов'];['position ', 'Ведущий инженер по сопровождению ETL-процессов (SberData)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46030363?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0МаксимаТелеком'];['position ', 'Системный инженер (Big Data)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46537006?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Киевская']
['companyname ', 'Mediascope'];['position ', 'Системный аналитик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/39270407?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'АО\xa0ГНИВЦ'];['position ', 'ETL-BigData Developer (удаленно)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43807407?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'РЕЗОНИТ'];['position ', 'Senior Backend Developer (Laravel + Go/C#)'];['minsalary ', 220000.0];['maxsalary ', 0.0];['currency ', 0.0];['vacancyurl ', 'https://hh.ru/vacancy/46065308?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0ИММО'];['position ', 'PHP-программист'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/36936316?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'РЕЗОНИТ'];['position ', 'Backend Developer (Laravel)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46065401?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Сбер. IT'];['position ', 'Senior Python разработчик в SberDevices (инфраструктура поиска)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44205479?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0UMA.Tech'];['position ', 'Ведущий системный инженер Linux / DevOps (BigData)'];['minsalary ', 160000.0];['maxsalary ', 250000.0];['currency ', 205000.0];['vacancyurl ', 'https://hh.ru/vacancy/39440671?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Маяковская']
['companyname ', 'Сбер для экспертов'];['position ', 'Инженер по сопровождению (CTL)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46030613?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'CleverDATA'];['position ', 'Инженер по сопровождению'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46535459?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'GeekBrains'];['position ', 'Ведущий продуктовый аналитик / Lead Product Analyst'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46445716?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Маяковская']
['companyname ', 'SberTech'];['position ', 'Java developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46472656?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Сбер. IT'];['position ', 'Team Lead (Руководитель команды)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46465513?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Improvado'];['position ', 'Technical Project Manager'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46457685?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ПАО\xa0МегаФон, IT'];['position ', 'Архитектор больших данных'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46449476?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Маяковская и еще 2 ']
['companyname ', 'Сбер. IT'];['position ', 'Junior Data Scientist'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46427766?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Тульская']
['companyname ', 'АО\xa0Международный аэропорт Шереметьево'];['position ', 'Senior Data Scientist'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45349324?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Сбер для экспертов'];['position ', 'Аналитик витрин данных'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46423349?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
